run,program,nbodies,time_sec
1,n-body,6000,61.780282935
2,n-body,6000,64.006347087
3,n-body,6000,64.188501112
4,n-body,6000,63.850089072
5,n-body,6000,64.759673880
6,n-body,6000,64.007653719
7,n-body,6000,63.795834868
8,n-body,6000,64.012572609
9,n-body,6000,63.898098221
10,n-body,6000,64.024669242
11,n-body,6000,64.000941215
12,n-body,6000,64.066445620
13,n-body,6000,63.820321916
14,n-body,6000,63.841652472
15,n-body,6000,63.828045704
16,n-body,6000,63.988070382
17,n-body,6000,64.148905879
18,n-body,6000,63.924198834
19,n-body,6000,63.855593204
20,n-body,6000,63.879110287
21,n-body,6000,64.967004025
22,n-body,6000,64.255696954
23,n-body,6000,63.834017598
24,n-body,6000,64.126633001
25,n-body,6000,64.754642760
26,n-body,6000,64.128606601
27,n-body,6000,63.946519378
28,n-body,6000,63.882213682
29,n-body,6000,63.800836193
30,n-body,6000,66.837219745
31,n-body,6000,63.991937576
32,n-body,6000,64.391625977
33,n-body,6000,64.282864733
34,n-body,6000,64.196861125
35,n-body,6000,64.130122501
36,n-body,6000,66.193790382
37,n-body,6000,64.455351850
38,n-body,6000,64.096754042
39,n-body,6000,63.816797667
40,n-body,6000,63.909659327
41,n-body,6000,64.225789054
42,n-body,6000,63.990783641
43,n-body,6000,64.032577899
44,n-body,6000,64.334147535
45,n-body,6000,64.089499116
46,n-body,6000,63.813741861
47,n-body,6000,64.217609964
48,n-body,6000,62.024465791
49,n-body,6000,64.072618464
50,n-body,6000,64.730577471
51,n-body,6000,64.061237001
52,n-body,6000,64.077321385
53,n-body,6000,64.160225415
54,n-body,6000,64.253277586
55,n-body,6000,64.129787359
56,n-body,6000,67.539846582
57,n-body,6000,64.076648391
58,n-body,6000,64.003804444
59,n-body,6000,64.150083144
60,n-body,6000,64.674735002
61,n-body,6000,63.921234157
62,n-body,6000,63.713829935
63,n-body,6000,64.480015490
64,n-body,6000,63.803540355
65,n-body,6000,63.734900431
66,n-body,6000,64.010701403
67,n-body,6000,64.124507340
68,n-body,6000,64.189176947
69,n-body,6000,63.728873385
70,n-body,6000,64.220312819
71,n-body,6000,63.635358748
72,n-body,6000,63.673475098
73,n-body,6000,63.959827283
74,n-body,6000,64.032875530
75,n-body,6000,63.572084907
76,n-body,6000,63.823220751
77,n-body,6000,63.736460230
78,n-body,6000,65.606575216
79,n-body,6000,64.243909585
80,n-body,6000,64.977244125
81,n-body,6000,63.899005465
82,n-body,6000,63.903470653
83,n-body,6000,71.585967588
84,n-body,6000,64.479954009
85,n-body,6000,63.898536998
86,n-body,6000,63.950042764
87,n-body,6000,64.104858710
88,n-body,6000,64.129287183
89,n-body,6000,64.133044023
90,n-body,6000,63.707690930
91,n-body,6000,63.891479244
92,n-body,6000,64.057265819
93,n-body,6000,64.099133054
94,n-body,6000,64.096850637
95,n-body,6000,63.723095480
96,n-body,6000,63.957238966
97,n-body,6000,64.314641542
98,n-body,6000,62.249836317
99,n-body,6000,64.208931677
100,n-body,6000,64.059323603
1,cpu_simd,6000,3.622971790
2,cpu_simd,6000,3.591862004
3,cpu_simd,6000,3.617947696
4,cpu_simd,6000,3.598673827
5,cpu_simd,6000,3.615261157
6,cpu_simd,6000,3.603337206
7,cpu_simd,6000,3.625879853
8,cpu_simd,6000,3.603804133
9,cpu_simd,6000,3.658650850
10,cpu_simd,6000,3.654590530
11,cpu_simd,6000,3.594909906
12,cpu_simd,6000,3.623708732
13,cpu_simd,6000,3.796971996
14,cpu_simd,6000,3.637548222
15,cpu_simd,6000,3.613507028
16,cpu_simd,6000,3.604164628
17,cpu_simd,6000,3.620143163
18,cpu_simd,6000,3.624973611
19,cpu_simd,6000,3.610817331
20,cpu_simd,6000,3.611881896
21,cpu_simd,6000,3.598129485
22,cpu_simd,6000,3.636519955
23,cpu_simd,6000,3.614440838
24,cpu_simd,6000,3.612924403
25,cpu_simd,6000,3.642726404
26,cpu_simd,6000,3.678325278
27,cpu_simd,6000,3.626307466
28,cpu_simd,6000,3.614412203
29,cpu_simd,6000,3.593869602
30,cpu_simd,6000,3.781446597
31,cpu_simd,6000,3.604363998
32,cpu_simd,6000,3.585295721
33,cpu_simd,6000,3.618127437
34,cpu_simd,6000,3.584154294
35,cpu_simd,6000,3.624196698
36,cpu_simd,6000,3.602039886
37,cpu_simd,6000,3.627117552
38,cpu_simd,6000,3.608164146
39,cpu_simd,6000,3.603055543
40,cpu_simd,6000,3.596535444
41,cpu_simd,6000,3.638167232
42,cpu_simd,6000,3.609561366
43,cpu_simd,6000,3.661627098
44,cpu_simd,6000,3.594277496
45,cpu_simd,6000,3.649606865
46,cpu_simd,6000,3.603779378
47,cpu_simd,6000,3.626802429
48,cpu_simd,6000,3.592822956
49,cpu_simd,6000,3.600049722
50,cpu_simd,6000,3.666955874
51,cpu_simd,6000,3.621356995
52,cpu_simd,6000,3.613414904
53,cpu_simd,6000,3.718805269
54,cpu_simd,6000,3.664819534
55,cpu_simd,6000,3.599898642
56,cpu_simd,6000,3.601852195
57,cpu_simd,6000,3.650091934
58,cpu_simd,6000,3.612471784
59,cpu_simd,6000,3.755362467
60,cpu_simd,6000,3.645748372
61,cpu_simd,6000,3.607680232
62,cpu_simd,6000,3.601302785
63,cpu_simd,6000,3.569130170
64,cpu_simd,6000,3.606271009
65,cpu_simd,6000,3.637021820
66,cpu_simd,6000,3.601211779
67,cpu_simd,6000,3.576757358
68,cpu_simd,6000,3.815643355
69,cpu_simd,6000,3.595410907
70,cpu_simd,6000,3.588834395
71,cpu_simd,6000,3.607622402
72,cpu_simd,6000,3.639135837
73,cpu_simd,6000,3.603671805
74,cpu_simd,6000,3.619824273
75,cpu_simd,6000,3.657387947
76,cpu_simd,6000,3.654283668
77,cpu_simd,6000,3.609030784
78,cpu_simd,6000,3.571249831
79,cpu_simd,6000,3.644472101
80,cpu_simd,6000,3.615623685
81,cpu_simd,6000,3.608437518
82,cpu_simd,6000,3.742304150
83,cpu_simd,6000,3.691106047
84,cpu_simd,6000,3.599854940
85,cpu_simd,6000,3.590891052
86,cpu_simd,6000,3.603547001
87,cpu_simd,6000,3.632996170
88,cpu_simd,6000,3.604766667
89,cpu_simd,6000,3.678520296
90,cpu_simd,6000,3.599832786
91,cpu_simd,6000,3.668393290
92,cpu_simd,6000,3.670830168
93,cpu_simd,6000,3.585610613
94,cpu_simd,6000,3.621116182
95,cpu_simd,6000,3.696329593
96,cpu_simd,6000,3.585208452
97,cpu_simd,6000,3.594555908
98,cpu_simd,6000,3.627126298
99,cpu_simd,6000,3.603225435
100,cpu_simd,6000,3.578357185
1,n-body,8000,111.717227035
2,n-body,8000,116.729756114
3,n-body,8000,115.835537901
4,n-body,8000,116.810491688
5,n-body,8000,114.294440965
6,n-body,8000,113.871415756
7,n-body,8000,114.742911126
8,n-body,8000,122.816309176
9,n-body,8000,119.740906635
10,n-body,8000,117.816873704
11,n-body,8000,114.930220186
12,n-body,8000,125.384902888
13,n-body,8000,114.555299955
14,n-body,8000,118.541935913
15,n-body,8000,118.199073616
16,n-body,8000,115.259559690
17,n-body,8000,114.506164660
18,n-body,8000,114.716152548
19,n-body,8000,115.043861862
20,n-body,8000,115.407881148
21,n-body,8000,115.527190063
22,n-body,8000,116.350883732
