program,nbodies,media_aritmetica,mediana,desviacion_estandar,media_geometrica,IC,SpeedUp,Eficiencia
n-body,6000,64.179727189,64.045070674,1.012286082,64.172154033,0.20085952,1.0,0.0
n-body,8000,116.444709215,115.876148357,2.490168693,116.419594178,0.494103493,1.0,0.0
n-body,10000,178.204941126,176.873258599,5.303760078,178.13069735,1.052381065,1.0,0.0
n-body,12000,282.779070899,280.300574358,22.089192646,281.947355725,4.382975049,1.0,0.0
n-body,14000,370.655156009,362.494434398,24.163384474,369.984447099,4.794539708,1.0,0.0
n-body,16000,486.755784348,481.361892269,25.229112512,486.206273962,6.406994912,1.0,0.0
n-body,18000,624.00724955,619.641760969,13.741069987,623.860956576,3.549694778,1.0,0.0
n-body,20000,756.89617155,754.461868249,10.70938268,756.822735278,2.766526902,1.0,0.0
cpu_simd,6000,3.627158069,3.613460966,0.045123435,3.626884926,0.008953469,17.693463,2.211683
cpu_simd,8000,6.949207745,6.938275248,0.063054711,6.948929494,0.012511423,16.753601,2.0942
cpu_simd,10000,10.894098862,10.860721159,0.105222229,10.893602892,0.020878373,16.351863,2.043983
cpu_simd,12000,15.981505817,15.712923788,0.67963124,15.967912349,0.134853583,17.657121,2.20714
cpu_simd,14000,22.292049681,22.540811418,0.871415972,22.275019932,0.172907834,16.609837,2.07623
cpu_simd,16000,27.348773243,27.265777249,0.32722827,27.346892057,0.084532026,17.772569,2.221571
cpu_simd,18000,39.475338827,39.509456449,0.549981686,39.471571971,0.142075335,15.805323,1.975665
cpu_simd,20000,41.848107077,41.80168451,0.557161925,41.844497737,0.143930187,18.086553,2.260819
n-body_gpu,10000,0.588318293,0.584831792,0.024215922,0.587908611,0.006255636,304.891665,4.763932
n-body_gpu,12000,0.753629139,0.753227067,0.003475169,0.753621282,0.000897731,369.340192,5.77094
n-body_gpu,14000,0.993384005,0.994364504,0.006430458,0.993363509,0.001661163,367.440989,5.741265
n-body_gpu,16000,1.202616325,1.202901615,0.004305306,1.202608751,0.001112178,404.141842,6.314716
n-body_gpu,18000,1.531232641,1.531409385,0.004692461,1.531225574,0.001212191,407.425899,6.36603
n-body_gpu,20000,1.802055066,1.801617615,0.004927825,1.802048443,0.001272992,419.979129,6.562174
