nbodies,program,media_aritmetica,mediana,desviacion_estandar,media_geometrica,IC,SpeedUp,Eficiencia
10000,n-body,133.832014749,133.834132312,0.319057756,133.831641148,0.082421358,1.0,0.0
10000,cpu_simd,5.191231144,5.184369739,0.0350834,5.191116597,0.009063003,25.780897,3.222612
10000,n-body_gpu,0.589490941,0.588341511,0.006909324,0.589451818,0.001784868,227.044242,0.886892
12000,n-body,192.781305695,192.835309054,0.576741772,192.780458127,0.148988198,1.0,0.0
12000,cpu_simd,7.483922824,7.470314062,0.058028703,7.48370524,0.014990403,25.760028,3.220004
12000,n-body_gpu,0.780190427,0.775242404,0.018231467,0.779983484,0.004709687,247.159667,0.965467
14000,n-body,262.300831404,262.154177971,0.689280741,262.299942857,0.178060096,1.0,0.0
14000,cpu_simd,10.220753151,10.19383581,0.115169899,10.220126156,0.02975154,25.66504,3.20813
14000,n-body_gpu,0.993812136,0.995883717,0.008145398,0.993779234,0.002104179,263.941863,1.031023
16000,n-body,343.832645608,343.303614662,1.343840009,343.830897115,3.338283644,1.0,0.0
