  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                                   Function                                                                                 FunctionSignature                                                                       
        0x3aa0             57             14   4.07  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         __do_global_dtors_aux                                                                    __do_global_dtors_aux                                                                   
        0x8f30             13              4   3.25  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         _fini                                                                                    _fini                                                                                   
        0x3000             27              8   3.38  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         _init                                                                                    _init                                                                                   
        0x3a00             38             13   2.92  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         _start                                                                                   _start                                                                                  
        0x5b1b             93             26   3.58  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         check_result                                                                             check_result                                                                            
        0x611a            461             86   5.36  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         cleanup_environment                                                                      cleanup_environment                                                                     
        0x62e7           3939            886   4.45  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         compute_accel                                                                            compute_accel                                                                           
        0x3ae0              9              2   4.50  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         frame_dummy                                                                              frame_dummy                                                                             
        0x51cb            212             49   4.33  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         init_bodies                                                                              init_bodies                                                                             
        0x5eca            592            146   4.05  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         init_environment                                                                         init_environment                                                                        
        0x3c2f           5532           1211   4.57  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         init_one_disk                                                                            init_one_disk                                                                           
        0x3aea            118             35   3.37  unknown    unknown /home/karina/Documentos/TEC/Arqui_2/Proyectos/Proyecto 3/proyecto_2/build/n-b...         init_one_disk(Body*, int, int, float, float, float, float, float, float, floa...         init_one_disk(Body*, int, int, float, float, float, float, float, float, floa...        
